level,credits,course_2,title_2,course_1,gen_ed,title_1,special
None,4.00,MATH 111,College Algebra I,MATH 141,None,Fundamtls of Coll Algebra,None
None,3.00,MATH 111,College Algebra I,MATH 141B,None,Intermediate Algebra,None
None,3.00,GEN EL,General Elective,MATH 143,None,Finite Business & Soc Sci,None
None,3.00,GEN EL,General Elective,MATH 145,None,Contemporary Mathematics,None
None,3.00,GEN EL,General Elective,MATH 148,None,Math Elem Teacher I,None
None,3.00,GEN EL,General Elective,MATH 149,None,Math Elem Teacher II,None
None,5.00,MATH 114,College Algebra II/Trig,MATH 152,None,Precalculus,None
None,1.00,GEN EL,General Elective,MATH 177,None,The Logic of Chess,None
None,3.00,GEN EL,General Elective,MATH 230,None,Intro to Statistics,None
None,3.00,GEN EL,General Elective,MATH 231,None,Undst Probability/Statis,None
None,1.00,GEN EL,General Elective,MATH 232,None,Stat Cptr Progrm Lab,None
None,3.00,GEN EL,General Elective,MATH 243,None,Shrt Calc Bus/Soc Science,None
None,5.00,GEN EL,General Elective,MATH 250,None,Appld Calc Srv Bus/Soc Sc,None
None,5.00,MATH 221,Calculus & Analytic Geometry I,MATH 253,None,Calc/Analytic Geometry I,None
None,5.00,MATH 222,Calc & Analytic Geometry II,MATH 254,None,Calc/Analytic Geometry II,None
None,3.00,MATH 223,Calc & Analytic Geometry III,MATH 255,None,Calc/Anlytc Geometry III,None
None,3.00,GEN EL,General Elective,MATH 280,None,Discrete Mathematics,None
None,1.00-3.00,GEN EL,General Elective,MATH 290,None,Special Topics in Mathematics,None
None,3.00,PHIL 101,Introduction to Philosophy,PHILSPHY 241,None,Intro to Philosophy,None
None,3.00,PHIL 215,Contemporary Moral Problems,PHILSPHY 245,None,Contemporary Moral Issues,None
None,3.00,GEN EL,General Elective,PHILSPHY 247,None,Bioethics,None
None,3.00,GEN EL,General Elective,PHILSPHY 248,None,Environmental Ethics,None
None,3.00,PHIL 201,Logic,PHILSPHY 251,None,Logic,None
None,3.00,PHIL 206,Introduction to Ethics,PHILSPHY 261,None,Introduction to Ethics,None
None,3.00,PHIL 213,Aesthetics,PHILSPHY 271,None,Introduction Aesthetics,None
None,3.00,PHIL 220,"Politics, Law, and Society",PHILSPHY 281,None,Social Philosophy,None
None,3.00,Human/Arts EL,Humanities and Arts Elective,PHILSPHY 291,None,Philosophy Nat/Soc Sci,None
None,3.00,PHIL EL,Philosophy Elective,PHILSPHY 341,None,Classical Philosophy,None
None,3.00,PHIL EL,Philosophy Elective,PHILSPHY 342,None,Modern Philosophy,None
None,3.00,PHIL EL,Philosophy Elective,PHILSPHY 343,None,American Philosophy,None
None,3.00,PHIL EL,Philosophy Elective,PHILSPHY 345,None,Contemporary Philosophy,None
None,3.00,PHIL EL,Philosophy Elective,PHILSPHY 365,None,Perspectives Death/Dying,None
None,3.00,PHIL EL,Philosophy Elective,PHILSPHY 390,None,Feminist Philosophy,None
None,2.00,GEN EL,General Elective,PEPROF 165,None,Intro to Physical Education,None
None,1.00,GEN EL,General Elective,PEPROF 171,None,Fund Flag Ftbl/Tm Handbl,None
None,1.00,HESM 117,Basketball,PEPROF 172,None,Fundamental of Basketball,None
None,3.00,GEN EL,General Elective,PEPROF 173,None,Teach Tumbling/Gymnastics,None
None,1.00,HESM 194,Volleyball,PEPROF 174,None,Fundamentals Volleyball,None
None,1.00,GEN EL,General Elective,PEPROF 175,None,Fund Bowling/Badminton,None
None,1.00,GEN EL,General Elective,PEPROF 176,None,Fund of Archery & Golf,None
None,1.00,HESM 192,Track and Field,PEPROF 177,None,Fund of Track and Field,None
None,1.00,HESM 180,Soccer I,PEPROF 178,None,Fund Soccer & Speedball,None
None,2.00,GEN EL,General Elective,PEPROF 200,None,Fundamentals of Rhythms,None
None,1.00,GEN EL,General Elective,PEPROF 209,None,Professions in Physical Educ,None
None,1.00,HESM 182,Softball,PEPROF 210,None,Fundamentals of Softball,None
None,1.00,GEN EL,General Elective,PEPROF 212,None,Fundamentals of Apparatus,None
None,1.00,HESM 188,Tennis I,PEPROF 213,None,Fundamentals of Tennis,None
None,1.00,HESM 196,Weight Training I,PEPROF 215,None,Fnd Wght Trng/Phy Fitness,None
None,3.00,GEN EL,General Elective,PEPROF 240,None,Stand-Based Curric/Plann,None
None,3.00,HESM 233,Water Safety Instructor,PEPROF 251,None,Water Safety Instructor,None
None,4.00,HESM EL,"Health, Exercise Science & Sport Mngmnt Elective",PEPROF 271,None,Structure/Funct Humn Body,None
None,2.00,HESM 322,Adv First Aid/Emrgncy Response,PEPROF 281,None,First Aid & Cpr,None
None,3.00,GEN EL,General Elective,PEPROF 291,None,Lifeguarding,None
None,1.00,GEN EL,General Elective,PEGNRL 100,None,Cr Vets W/6 Mos Act Srvce,None
None,0.50,GEN EL,General Elective,PEGNRL 103,None,Beginning Archery,None
None,0.50,GEN EL,General Elective,PEGNRL 104,None,Beginning Badminton,None
None,0.50,GEN EL,General Elective,PEGNRL 106,None,Beg Aerobic Exer & Dance,None
None,0.50,GEN EL,General Elective,PEGNRL 108,None,Beginning Bowling,None
None,0.50,GEN EL,General Elective,PEGNRL 109,None,Intermediate Bowling,None
None,0.50,GEN EL,General Elective,PEGNRL 110,None,Beginning Jogging,None
None,0.50,GEN EL,General Elective,PEGNRL 111,None,Beg Phy Fitness Develpmnt,None
None,0.50,GEN EL,General Elective,PEGNRL 113,None,Int Aerobic Exercise/Dnce,None
None,0.50,GEN EL,General Elective,PEGNRL 115,None,Beginning Fencing,None
None,0.50,GEN EL,General Elective,PEGNRL 120,None,Beginning Golf,None
None,0.50,GEN EL,General Elective,PEGNRL 121,None,Intermediate Golf,None
None,0.50,GEN EL,General Elective,PEGNRL 125,None,Beginning Paddleball,None
None,0.50,GEN EL,General Elective,PEGNRL 134,None,Beginning Skiing,None
None,0.50,GEN EL,General Elective,PEGNRL 138,None,Beg Bicycle Touring,None
None,0.50,GEN EL,General Elective,PEGNRL 139,None,Intro to Backpacking,None
None,0.50,GEN EL,General Elective,PEGNRL 141,None,Beginning Yoga,None
None,0.50,GEN EL,General Elective,PEGNRL 142,None,Intermediate Yoga,None
None,0.50,GEN EL,General Elective,PEGNRL 143,None,Beginning Folk Dance,None
None,0.50,GEN EL,General Elective,PEGNRL 144,None,Beg Social Dance (Clscl),None
None,0.50,GEN EL,General Elective,PEGNRL 145,None,Beginning Square Dance,None
None,0.50,GEN EL,General Elective,PEGNRL 147,None,Beg Soc Dnce (Latin/Midw),None
None,0.50,GEN EL,General Elective,PEGNRL 148,None,Beg Contra/Rnd Dnce/Mixrs,None
None,2.00,GEN EL,General Elective,PEGNRL 149,None,Beg Country Western Dance,None
None,0.50,GEN EL,General Elective,PEGNRL 150,None,Beginning Swim Level 4,None
None,0.50,GEN EL,General Elective,PEGNRL 151,None,Intermediate Swim Level 6,None
None,0.50,GEN EL,General Elective,PEGNRL 152,None,Advanced Swimming Level 7,None
None,0.50,GEN EL,General Elective,PEGNRL 155,None,Beginning Aqua Aerobics,None
None,1.00,GEN EL,General Elective,PEGNRL 157,None,Swimming IV (Life Saving),None
None,1.00,GEN EL,General Elective,PEGNRL 158,None,Beg Skin & Scuba Diving,None
None,1.00,GEN EL,General Elective,PEGNRL 159,None,Beginning Canoeing,None
None,0.50,GEN EL,General Elective,PEGNRL 160,None,Beginning Tennis,None
None,0.50,GEN EL,General Elective,PEGNRL 161,None,Intermediate Tennis,None
None,0.50,GEN EL,General Elective,PEGNRL 166,None,Beg Volleyball (Power),None
None,0.50,GEN EL,General Elective,PEGNRL 167,None,Beginning Weight Training,None
None,0.50,GEN EL,General Elective,PEGNRL 168,None,Intermediate Volleyball,None
None,0.50,GEN EL,General Elective,PEGNRL 170,None,Beginning Self Defense,None
None,0.50,GEN EL,General Elective,PEGNRL 173,None,Beginning Sport Judo,None
None,0.50,GEN EL,General Elective,PEGNRL 175,None,Beg Tae Kwon Do: Karate,None
None,0.50,GEN EL,General Elective,PEGNRL 176,None,Interm Tae Kwon Do: Karate,None
