	to	level	credits	course_2	title_2	course_1	from_	gen_ed	title_1,special
1983	9999		3.0	NDC	No Degree Credit	COMMSK (801) 101	Madison Area Tech. College		
1984	9999		2.0	NDC	No Degree Credit	COMMSK (801) 105	Madison Area Tech. College		
1985	9999		3.0	NDC	No Degree Credit	COMMSK (801) 120	Madison Area Tech. College		
1986	9999		4.0	NDC	No Degree Credit	COMMSK (801) 130	Madison Area Tech. College		
1987	9999		3.0	NDC	No Degree Credit	COMMSK (801) 131	Madison Area Tech. College		
1988	9999	L	3.0	ENG 101	College Write & Critical Read	COMMSK (801) 136	Madison Area Tech. College	UCTA,EL	
1989	9999		3.0	NDC	No Degree Credit	COMMSK (801) 140	Madison Area Tech. College		
1990	9999		3.0	NDC	No Degree Credit	COMMSK (801) 141	Madison Area Tech. College		
1991	9999		3.0	NDC	No Degree Credit	COMMSK (801) 148	Madison Area Tech. College		
1992	9999		3.0	NDC	No Degree Credit	COMMSK (801) 149	Madison Area Tech. College		
1993	9999	L	3.0	GEN EL	General Elective	COMMSK (801) 151	Madison Area Tech. College		
1994	9999	L	3.0	NDC	No Degree Credit	COMMSK (801) 152	Madison Area Tech. College		
1995	9999		2.0	NDC	No Degree Credit	COMMSK (801) 153	Madison Area Tech. College		
1996	9999		3.0	NDC	No Degree Credit	COMMSK (801) 154	Madison Area Tech. College		
1997	9999		3.0	NDC	No Degree Credit	COMMSK (801) 158	Madison Area Tech. College		
1998	9999	L	3.0	ART 180	Artist & Visual Arts	ART (815) 200	Madison Area Tech. College	FA	
1999	9999	L	3.0	ART 111	Two-Dimensional Design	ART (815) 201	Madison Area Tech. College	AP	
2000	9999	L	3.0	ART 112	Three-Dimensional Design	ART (815) 202	Madison Area Tech. College	AP	
2001	9999	L	3.0	ART 112	Three-Dimensional Design	ART (815) 203	Madison Area Tech. College	AP	
2002	9999	L	3.0	ART EL	Art Elective	ART (815) 204	Madison Area Tech. College	AP	
2003	9999	L	3.0	ART 101	Introduction to Drawing	ART (815) 205	Madison Area Tech. College	AP	
2004	9999	L	3.0	ART EL	Art Elective	ART (815) 206	Madison Area Tech. College	AP	
2005	9999	L	3.0	ART EL	Art Elective	ART (815) 207	Madison Area Tech. College	AP	
2006	9999	L	3.0	ART EL	Art Elective	ART (815) 209	Madison Area Tech. College	FA	
2007	9999	L	3.0	ART 187	Survey: Modern Art	ART (815) 210	Madison Area Tech. College	FA	
2008	9999	L	3.0	ART EL	Art Elective	ART (815) 211	Madison Area Tech. College	FA	
2009	9999	L	3.0	ART EL	Art Elective	ART (815) 212	Madison Area Tech. College	FA	
2010	9999	L	3.0	ART EL	Art Elective	ART (815) 213	Madison Area Tech. College	AP	
2011	9999	L	3.0	ART 103	Drawing II	ART (815) 215	Madison Area Tech. College	AP	
2012	9999	L	3.0	ART EL	Art Elective	ART (815) 217	Madison Area Tech. College		
2013	9999	L	3.0	ART EL	Art Elective	ART (815) 218	Madison Area Tech. College		
2014	9999	L	3.0	ART 201	Introduction to Life Drawing	ART (815) 219	Madison Area Tech. College	AP	
2015	9999	L	3.0	ART EL	Art Elective	ART (815) 220	Madison Area Tech. College	AP	
2016	9999		1.0	NDC	No Degree Credit	COMMSK (801) 175	Madison Area Tech. College		
2017	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 195	Madison Area Tech. College	UCTA	
2018	9999	L	3.0	CTA 101	Interpersonal Comm	COMMSK (801) 196	Madison Area Tech. College	AP	
2019	9999	L	3.0	ENG 206	Technical Writing	COMMSK (801) 197	Madison Area Tech. College	AP	
2020	9999	L	3.0	CTA 103	Intro Public Speaking	COMMSK (801) 198	Madison Area Tech. College	UCTA,AP	
2021	9999	L	3.0	ENG 101	College Write & Critical Read	COMMSK (801) 201	Madison Area Tech. College	UCTA,EL	
2022	9999	L	3.0	ENG 102	Crit Write, Read, and Research	COMMSK (801) 202	Madison Area Tech. College	CR	
2023	9999	L	3.0	ENG 201	Intermediate Composition	COMMSK (801) 203	Madison Area Tech. College	AP	
2024	9999	L	3.0	ENG 266	Modern Literature	COMMSK (801) 204	Madison Area Tech. College	HU	
2025	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 210	Madison Area Tech. College	HU	
2026	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 211	Madison Area Tech. College	HU	
2027	9999	L	3.0	ENG 242	American Indian in Lit & Film	COMMSK (801) 212	Madison Area Tech. College	ES,HU	
2028	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 213	Madison Area Tech. College	HU, ES	
2029	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 214	Madison Area Tech. College	HU, ES	
2030	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 215	Madison Area Tech. College	HU	
2031	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 216	Madison Area Tech. College	HU	
2032	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 217	Madison Area Tech. College	HU	
2033	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 218	Madison Area Tech. College	HU	
2034	9999	L	3.0	ENG 264	Western Lit Before 1665	COMMSK (801) 219	Madison Area Tech. College	HU	
2035	9999	L	3.0	ENG 265	Western Lit After 1665	COMMSK (801) 220	Madison Area Tech. College	HU	
2036	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 221	Madison Area Tech. College	HU	
2037	9999	L	3.0	ENG EL	English Elective	COMMSK (801) 228	Madison Area Tech. College	HU	
2038	9999		3.0	NDC	No Degree Credit	SPEECH (810) 101	Madison Area Tech. College		
2039	9999	L	3.0	CTA 103	Intro Public Speaking	SPEECH (810) 201	Madison Area Tech. College	UCTA,AP	
2040	9999	L	3.0	CTA 101	Interpersonal Comm	SPEECH (810) 205	Madison Area Tech. College	AP	
2041	9999	L	3.0	CTA EL	Communication and Theatre Arts Elective	SPEECH (810) 207	Madison Area Tech. College		
2042	9999	L	3.0	CTA 230	Literature & Performance	SPEECH (810) 211	Madison Area Tech. College	HU	
2043	9999	L	3.0	CTA 130	Intro to Theatre	SPEECH (810) 230	Madison Area Tech. College	FA	
2044	9999	L	3.0	CTA EL	Communication and Theatre Arts Elective	SPEECH (810) 231	Madison Area Tech. College		
2045	9999	L	3.0	CTA EL	Communication and Theatre Arts Elective	SPEECH (810) 233	Madison Area Tech. College	HU	
2046	9999	L	3.0	CTA EL	Communication and Theatre Arts Elective	SPEECH (810) 235	Madison Area Tech. College		
2047	9999	L	3.0	CTA EL	Communication and Theatre Arts Elective	SPEECH (810) 236	Madison Area Tech. College		
2048	9999	L	3.0	CTA EL	Communication and Theatre Arts Elective	SPEECH (810) 237	Madison Area Tech. College	AP	
2049	9999	L	3.0	CTA 103	Intro Public Speaking	SPEECH (810) 242	Madison Area Tech. College	UCTA,AP	
2050	9999	L	3.0	CTA 150	Introduction to Film	SPEECH (810) 250	Madison Area Tech. College	FA	
2051	9999	L	3.0	CTA EL	Communication and Theatre Arts Elective	SPEECH (810) 252	Madison Area Tech. College		
